Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
15.00,1945.588,947.90,-54.90476,96.8, -,8.945935
15.05,1954.235,947.60,-46.66667,96.8, -,8.945935
15.10,1945.588,947.90,-52.14286,96.8, -,8.945935
15.15,1936.946,948.20,-52.14286,96.8, -,8.945935
15.20,1931.185,948.40,-54.85714,96.8, -,8.945935
15.25,1931.185,948.40,-46.61905,96.8, -,8.945935
15.30,1928.305,948.50,-46.61905,96.8, -,8.945935
15.35,1928.305,948.50,-49.38095,96.8, -,8.945935
15.40,1928.305,948.50,-43.90476,96.8, -,8.945935
15.45,1925.426,948.60,-41.19048,96.8, -,8.945935
15.50,1916.787,948.90,-38.42857,96.8, -,8.945935
15.55,1902.396,949.40,-49.38095,96.8, -,8.945935
15.60,1899.519,949.50,-54.90476,96.8, -,8.945935
15.65,1899.519,949.50,-57.66667,96.8, -,8.945935
15.70,1899.519,949.50,-68.66666,96.8, -,8.945935
15.75,1899.519,949.50,-76.90476,96.8, -,8.945935
15.80,1899.519,949.50,-71.42857,96.8, -,8.945935
15.85,1902.396,949.40,-74.14286,96.8, -,8.945935
15.90,1905.275,949.30,-57.66667,96.8, -,8.945935
15.95,1896.642,949.60,-46.66667,96.8, -,8.945935
16.00,1893.764,949.70,-46.66667,96.8, -,8.945935
16.05,1888.011,949.90,-54.90476,96.8, -,8.945935
16.10,1882.26,950.10,-68.61905,96.8, -,8.945935
16.15,1879.383,950.20,-63.14286,96.8, -,8.945935
16.20,1879.383,950.20,-54.90476,96.8, -,8.945935
16.25,1879.383,950.20,-49.42857,96.8, -,8.945935
16.30,1882.26,950.10,-46.66667,96.8, -,8.945935
16.35,1879.383,950.20,-46.66667,96.8, -,8.945935
16.40,1873.632,950.40,-52.14286,96.8, -,8.945935
16.45,1867.883,950.60,-57.61905,96.8, -,8.945935
16.50,1859.259,950.90,-63.04762,96.8, -,8.945935
16.55,1853.513,951.10,-60.28571,96.8, -,8.926488
16.60,1853.513,951.10,-46.57143,96.8, -,8.926488
16.65,1850.638,951.20,-46.52381,96.8, -,8.926488
16.70,1853.513,951.10,-43.80952,96.8, -,8.926488
16.75,1859.259,950.90,-38.33333,96.8, -,8.926488
16.80,1859.259,950.90,-38.33333,96.8, -,8.926488
16.85,1856.385,951.00,-41.04762,96.8, -,8.926488
16.90,1850.638,951.20,-49.28571,96.8, -,8.926488
16.95,1842.02,951.50,-60.23809,96.8, -,8.926488
17.00,1836.275,951.70,-57.47619,96.8, -,8.926488
17.05,1836.275,951.70,-54.71429,96.8, -,8.926488
17.10,1836.275,951.70,-49.23809,96.8, -,8.926488
17.15,1830.531,951.90,-49.23809,96.8, -,8.926488
17.20,1824.79,952.10,-51.95238,96.8, -,8.926488
17.25,1821.918,952.20,-54.66667,96.8, -,8.926488
17.30,1819.048,952.30,-57.38095,96.8, -,8.926488
17.35,1821.918,952.20,-57.42857,96.8, -,8.926488
17.40,1821.918,952.20,-54.66667,96.8, -,8.926488
17.45,1824.79,952.10,-46.47619,96.8, -,8.926488
17.50,1824.79,952.10,-41,96.8, -,8.965384
17.55,1813.307,952.50,-43.76191,96.8, -,8.965384
17.60,1804.698,952.80,-46.47619,96.8, -,8.965384
17.65,1796.092,953.10,-54.66667,96.8, -,8.965384
17.70,1793.222,953.20,-54.66667,96.8, -,8.965384
17.75,1790.355,953.30,-60.09524,96.8, -,8.965384
17.80,1790.355,953.30,-65.57143,96.8, -,8.965384
17.85,1793.222,953.20,-62.85714,96.8, -,8.965384
17.90,1796.092,953.10,-57.42857,96.8, -,8.965384
17.95,1790.355,953.30,-57.42857,96.8, -,8.965384
18.00,1781.752,953.60,-57.42857,96.8, -,8.965384
18.05,1778.883,953.70,-54.66667,96.8, -,8.965384
18.10,1776.017,953.80,-57.38095,96.8, -,8.965384
18.15,1773.149,953.90,-60.09524,96.8, -,8.965384
18.20,1776.017,953.80,-51.90476,96.8, -,8.965384
18.25,1770.283,954.00,-51.90476,96.8, -,8.965384
18.30,1761.686,954.30,-57.38095,96.8, -,8.965384
18.35,1758.819,954.40,-57.38095,96.8, -,8.965384
18.40,1761.686,954.30,-57.38095,96.8, -,8.965384
18.45,1764.551,954.20,-54.66667,96.8, -,8.965384
18.50,1764.551,954.20,-57.38095,96.8, -,8.965384
18.55,1758.819,954.40,-62.85714,96.8, -,8.945935
18.60,1755.954,954.50,-54.61905,96.8, -,8.945935
18.65,1747.36,954.80,-54.61905,96.8, -,8.945935
18.70,1744.495,954.90,-49.14286,96.8, -,8.945935
18.75,1744.495,954.90,-46.42857,96.8, -,8.945935
18.80,1741.631,955.00,-46.42857,96.8, -,8.945935
18.85,1744.495,954.90,-43.71429,96.8, -,8.945935
